acc,aug_type,condition,ece,group,intensity,kappa,layer,macro_f1,nll,seed,target_subject
0.3402777777777778,bad_artifact,BadArtifact,0.07889577218641838,BadArtifact,0.75,0.12037037037037039,layer1,0.2879523330757435,1.3520007133483887,20,3
0.3819444444444444,none,NoAug,0.1012804624107149,NoAug,0.0,0.1759259259259259,layer1,0.35326183994081484,1.3405691385269165,21,3
0.3923611111111111,clean,CleanAug,0.11131130986743502,CleanAug,0.75,0.1898148148148148,layer1,0.36596325522078754,1.3406121730804443,21,3
0.2534722222222222,bad_content,BadContent,0.15226558099190393,BadContent,0.75,0.004629629629629613,layer1,0.11964704044978916,1.3862825632095337,21,3
0.3958333333333333,bad_style,BadStyle,0.11510081713398297,BadStyle,0.75,0.19444444444444442,layer1,0.350829652803337,1.3434772491455078,21,3
0.3854166666666667,bad_physio,BadPhysio,0.10491707921028137,BadPhysio,0.75,0.18055555555555558,layer1,0.3589401529736264,1.339377760887146,21,3
0.3715277777777778,bad_artifact,BadArtifact,0.10139611513457365,BadArtifact,0.75,0.16203703703703706,layer1,0.3176346842651874,1.3403639793395996,21,3
0.3055555555555556,none,NoAug,0.07380560697573753,NoAug,0.0,0.07407407407407411,layer1,0.20024812494293975,1.3525608777999878,22,3
0.3402777777777778,clean,CleanAug,0.049605450903375946,CleanAug,0.75,0.12037037037037039,layer1,0.26238182811098576,1.3475737571716309,22,3
0.25,bad_content,BadContent,0.16464789335926375,BadContent,0.75,0.0,layer1,0.1,1.390797734260559,22,3
0.3576388888888889,bad_style,BadStyle,0.07761732861399652,BadStyle,0.75,0.14351851851851852,layer1,0.2997896924897153,1.3515602350234985,22,3
0.3541666666666667,bad_physio,BadPhysio,0.08076213227791919,BadPhysio,0.75,0.13888888888888892,layer1,0.283906799396473,1.3470911979675293,22,3
0.3125,bad_artifact,BadArtifact,0.0995948278448648,BadArtifact,0.75,0.08333333333333333,layer1,0.21641204539075343,1.3505432605743408,22,3
0.3194444444444444,none,NoAug,0.04872495453390809,NoAug,0.0,0.09259259259259256,layer1,0.2867763525762077,1.360077977180481,20,4
0.3298611111111111,clean,CleanAug,0.059167982906930976,CleanAug,0.75,0.10648148148148147,layer1,0.30244806302064536,1.3576960563659668,20,4
0.2465277777777778,bad_content,BadContent,0.060056957623196974,BadContent,0.75,-0.004629629629629613,layer1,0.16665946646506102,1.372631549835205,20,4
0.3472222222222222,bad_style,BadStyle,0.11667877290811804,BadStyle,0.75,0.12962962962962962,layer1,0.2831826564718446,1.3647055625915527,20,4
0.3090277777777778,bad_physio,BadPhysio,0.039775759085185,BadPhysio,0.75,0.07870370370370372,layer1,0.29287698412698415,1.3583338260650635,20,4
0.34375,bad_artifact,BadArtifact,0.07428642051915327,BadArtifact,0.75,0.125,layer1,0.2998869691059779,1.3577739000320435,20,4
0.2951388888888889,none,NoAug,0.02488595526665449,NoAug,0.0,0.060185185185185196,layer1,0.2640683740601504,1.3580373525619507,21,4
0.3159722222222222,clean,CleanAug,0.046735731263955436,CleanAug,0.75,0.08796296296296295,layer1,0.30619483688708043,1.3578587770462036,21,4
0.23958333333333334,bad_content,BadContent,0.06598318776943617,BadContent,0.75,-0.013888888888888876,layer1,0.13232323232323234,1.3710144758224487,21,4
0.3229166666666667,bad_style,BadStyle,0.08889308597685563,BadStyle,0.75,0.09722222222222225,layer1,0.2556111168243521,1.3663954734802246,21,4
0.3576388888888889,bad_physio,BadPhysio,0.08902074148257573,BadPhysio,0.75,0.14351851851851852,layer1,0.3231702269934215,1.3574873208999634,21,4
0.375,bad_artifact,BadArtifact,0.10303455653289954,BadArtifact,0.75,0.16666666666666666,layer1,0.3043114608637467,1.3577780723571777,21,4
0.34375,none,NoAug,0.07337581304212411,NoAug,0.0,0.125,layer1,0.29729651280777947,1.3636797666549683,22,4
0.3402777777777778,clean,CleanAug,0.07027075139598714,CleanAug,0.75,0.12037037037037039,layer1,0.3071061988284616,1.3605830669403076,22,4
0.25,bad_content,BadContent,0.09799056748549144,BadContent,0.75,0.0,layer1,0.10027855153203342,1.378588318824768,22,4
0.28125,bad_style,BadStyle,0.07935614542414744,BadStyle,0.75,0.041666666666666664,layer1,0.18593020305388167,1.3714654445648193,22,4
0.3680555555555556,bad_physio,BadPhysio,0.0985176997880141,BadPhysio,0.75,0.15740740740740744,layer1,0.33592557245887417,1.3603205680847168,22,4
0.3854166666666667,bad_artifact,BadArtifact,0.11546618646631639,BadArtifact,0.75,0.18055555555555558,layer1,0.3348188193693812,1.3600845336914062,22,4
0.2465277777777778,none,NoAug,0.03976740838131971,NoAug,0.0,-0.004629629629629613,layer1,0.13614718614718616,1.3876557350158691,20,5
0.2465277777777778,clean,CleanAug,0.03776585176173183,CleanAug,0.75,-0.004629629629629613,layer1,0.1497849994006952,1.386690616607666,20,5
0.2569444444444444,bad_content,BadContent,0.05004942065311803,BadContent,0.75,0.009259259259259226,layer1,0.1145154280747501,1.3980857133865356,20,5
0.2638888888888889,bad_style,BadStyle,0.022660868242383003,BadStyle,0.75,0.018518518518518528,layer1,0.1675177304964539,1.3903555870056152,20,5
0.23958333333333334,bad_physio,BadPhysio,0.03549655951145623,BadPhysio,0.75,-0.013888888888888876,layer1,0.15380549682875266,1.3858821392059326,20,5
