acc,condition,ece,kappa,macro_f1,n,nll,target_subject
0.3125,NoAug,0.041766512104206614,0.08333333333333337,0.2171926239749237,3,1.3644185463587444,8
0.3148148148148148,CleanAug,0.03292133831591518,0.08641975308641976,0.2220745118833295,3,1.368227243423462,8
0.2523148148148148,BadContent,0.13810989852235825,0.0030864197530864087,0.11871765875055688,3,1.3932968775431316,8
0.3310185185185185,BadStyle,0.06276684466542469,0.10802469135802469,0.24224191137616433,3,1.3629451195398967,8
0.306712962962963,BadPhysio,0.03639669716358185,0.07561728395061731,0.206749973986159,3,1.3692878882090251,8
0.3032407407407407,BadArtifact,0.04916843306273222,0.07098765432098765,0.22806628666951503,3,1.3630659580230713,8
0.4421296296296296,NoAug,0.15925971635927758,0.25617283950617287,0.37430455154075054,3,1.325317144393921,9
0.4375,CleanAug,0.16009195645650226,0.25,0.3567746407119971,3,1.3240416049957275,9
0.25578703703703703,BadContent,0.22852256658693984,0.007716049382716046,0.11166652622579192,3,1.3613450527191162,9
0.4178240740740741,BadStyle,0.12166721584206379,0.22376543209876543,0.3491063560387177,3,1.327511231104533,9
0.4375,BadPhysio,0.15745005880792937,0.25,0.3506957996859354,3,1.324891448020935,9
0.42476851851851855,BadArtifact,0.1388968046133717,0.2330246913580247,0.3476060365080387,3,1.3224562406539917,9
