brier,ece,group,mean_confidence,nll,seed,target_subject,temperature
0.7303151292728065,0.06080921501335169,ArtifactReject_raw,0.2933574318885803,1.3498320579528809,22,3,1.0
0.7365961099794853,0.1142718262142605,NaiveAug,0.2711448073387146,1.3595526218414307,20,4,1.0
0.7354327109542768,0.12858064058754176,SoftWeightArtifactReject_raw,0.27072492241859436,1.357036828994751,20,4,1.0
0.7392144719486433,0.11712053956256972,SWAR_TempScale_SourceVal,0.26482391357421875,1.36466646194458,20,4,1.35
0.7357354940893972,0.11958262872778705,SWAR_LabelSmoothing_eps005,0.2693062424659729,1.3576626777648926,20,4,1.0
0.7356982772055013,0.13037537866168553,SWAR_LabelSmoothing_eps010,0.26893022656440735,1.3576006889343262,20,4,1.0
0.7359588781516846,0.11552978307008743,SWAR_BrierMix_lam005,0.26988685131073,1.3580125570297241,20,4,1.0
0.7358672696830696,0.11557243826488653,SWAR_BrierMix_lam010,0.2698442041873932,1.357861876487732,20,4,1.0
0.7373648715482746,0.1510155592113733,ArtifactReject_raw,0.2656511068344116,1.360789179801941,20,4,1.0
0.7352525989682231,0.019039231042067204,NaiveAug,0.2785908877849579,1.3560385704040527,21,4,1.0
0.7343332732779622,0.09552109489838281,SoftWeightArtifactReject_raw,0.26906225085258484,1.3548846244812012,21,4,1.0
0.7417841888300772,0.09801458732949365,SWAR_TempScale_SourceVal,0.25962430238723755,1.3698632717132568,21,4,1.9500000000000002
0.7344035152365509,0.09590589565535387,SWAR_LabelSmoothing_eps005,0.2686774432659149,1.3550010919570923,21,4,1.0
0.7347611242816267,0.09993375485969912,SWAR_LabelSmoothing_eps010,0.2681218087673187,1.3557240962982178,21,4,1.0
0.7344897048091537,0.10751174204051493,SWAR_BrierMix_lam005,0.2674882411956787,1.3551099300384521,21,4,1.0
0.7343729997758233,0.09646894679301317,SWAR_BrierMix_lam010,0.2681144177913666,1.3548394441604614,21,4,1.0
0.7342658011788981,0.09592301077726814,ArtifactReject_raw,0.2686603367328644,1.3544620275497437,21,4,1.0
0.7386408151815103,0.12514587884975803,NaiveAug,0.27415966987609863,1.364112377166748,22,4,1.0
0.7375927427232299,0.11329265342404446,SoftWeightArtifactReject_raw,0.2721240222454071,1.3619226217269897,22,4,1.0
0.7472737605086175,0.13790915078587002,SWAR_TempScale_SourceVal,0.2544519603252411,1.3808659315109253,22,4,5.0
0.7379348872910979,0.1253468659189012,SWAR_LabelSmoothing_eps005,0.2704864740371704,1.3624863624572754,22,4,1.0
0.7377613085095391,0.11708699497911665,SWAR_LabelSmoothing_eps010,0.2718018591403961,1.3622643947601318,22,4,1.0
0.7380788538007906,0.10910052785442934,SWAR_BrierMix_lam005,0.2728439271450043,1.3630213737487793,22,4,1.0
0.737789088786013,0.12441764709850153,SWAR_BrierMix_lam010,0.27141571044921875,1.362267017364502,22,4,1.0
0.7380208113038544,0.11244677234854962,ArtifactReject_raw,0.26949769258499146,1.3625134229660034,22,4,1.0
