target_subject,seed,comparison,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_kappa,delta_auroc,delta_ece,delta_nll,delta_brier,win_macro_f1,win_balanced_accuracy
103,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.08571428571428574,-0.08333333333333337,-0.08259134919476463,-0.16903313049357682,-0.016339869281045694,0.005821868351527648,0.03752562230140355,0.021000713109970093,0,0
103,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02614379084967322,0.02645676691729315,0.05428823576605235,0.0032679738562091387,-0.0006277160985128649,-0.007140379920633877,-0.009350180625915527,1,1
104,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,-0.0234375,0.05326299788430333,0.05783877789884556,0.0400736927986145,0,0
104,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.00390625,0.046485619619488716,-0.013512850962601464,-0.019233673810958862,0,0
104,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.03125,-0.03125,-0.02802802802802795,-0.0625,0.01171875,0.011158265173435211,-0.014349560728280308,-0.0037794411182403564,0,0
104,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.125,0.125,0.12401960784313726,0.25,0.015625,-0.029207021929323673,0.01220464150109557,-0.004078954458236694,1,1
104,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.03125,-0.03125,-0.03054453452935435,-0.0625,0.0,0.015821035020053387,0.04466752202399893,0.012245863676071167,0,0
105,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02777777777777779,0.02861811391223157,0.05691026669713217,0.009803921568627527,-0.025678765773773204,-0.025487934539785595,-0.02064976841211319,1,1
105,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.0,-0.024705110277448386,-0.0004863181877389211,0.0006604716181755066,0,0
105,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,-0.0032679738562091387,0.032722617898668566,0.0204176654154804,0.01577889919281006,0,0
105,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.05714285714285716,-0.05882352941176472,-0.05818360657070343,-0.11513065071392292,0.0,-0.013375319753374373,0.011170398708266721,0.012766659259796143,0,0
105,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.05714285714285716,-0.05718954248366015,-0.05733005733005736,-0.11456628477905073,-0.0032679738562091387,0.017014694213867185,-0.007293169107725095,-0.0007936209440231323,0,0
106,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,-0.004934210526315708,0.0012168012168012332,-0.007102143390453897,0.016447368421052655,-0.010044716511453888,-0.04765489029913994,-0.04295825958251953,1,0
106,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.05714285714285716,0.0625,0.06019951840385285,0.12300702897308435,0.009868421052631637,-0.05893474306379051,-0.06519354530887966,-0.02376386523246765,1,1
106,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.057142857142857106,0.05756578947368418,0.05833333333333324,0.11627906976744196,0.009868421052631415,-0.0447389849594661,-0.04451722580389683,-0.032814204692840576,1,1
106,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.03125,0.027250635803267476,0.05941056107980047,0.042763157894736836,-0.010647720098495517,-0.12339243119355392,-0.06069141626358032,1,1
106,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.05714285714285716,0.0625,0.05718954248366026,0.12172953661868235,0.049342105263157854,-0.034344699553081004,-0.0625201524848159,-0.03422504663467407,1,1
107,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.021381578947368363,-0.01554164926746926,-0.047734925440706344,-0.019736842105263275,0.027884778380393965,0.018377928643850572,0.020914822816848755,0,0
107,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02631578947368418,-0.03267451640033647,-0.05197847104554976,0.03289473684210531,0.011681388957159866,0.02416213561340297,0.008391857147216797,0,0
107,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.05714285714285716,0.05756578947368429,0.05887300252312855,0.11686143572621033,0.023026315789473673,-0.04359350502491002,-0.011825244249414557,-0.014979332685470581,1,1
107,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.0328947368421052,-0.07251686283520292,-0.02698486776539699,-0.01520770788192749,0,0
107,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02631578947368418,-0.02768142474024815,-0.05336475154203324,0.016447368421052544,0.010121749980109118,-0.05423775067493686,-0.015412449836730957,0,0
108,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.009803921568627416,-0.054297732455389824,-0.06210141887665932,-0.026210308074951172,0,0
108,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.11428571428571432,0.11111111111111116,0.10771686129129365,0.22573521679694353,0.045751633986928164,0.051908914531980266,-0.06513567433354528,-0.0803094208240509,1,1
108,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02941176470588236,0.027250635803267476,0.05801921655580189,0.0065359477124183885,-0.04819270202091763,-0.023210027759179463,0.0020518600940704346,1,1
108,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02941176470588236,0.031120760959470584,0.058416515426497284,0.006535947712418277,-0.032587175709860666,-0.01927407025770711,-0.017258644104003906,1,1
108,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02614379084967311,0.032497283446050074,0.05395446074575416,0.022875816993464082,-0.05082731502396723,-0.05305269621081654,-0.03032928705215454,1,1
109,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02777777777777779,0.027821939586645583,0.05615994351914255,-0.016339869281045694,-0.012553031103951617,0.02040098714418459,-0.002059340476989746,1,1
109,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.006535947712418277,-0.013826011759894175,-0.016549317429802812,-0.011301696300506592,0,0
109,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02614379084967311,-0.03153195488721805,-0.053203321963517736,0.0032679738562091387,0.03426952276911058,0.021378476232502663,-0.0008818507194519043,0,0
109,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0016339869281046804,1.1102230246251565e-16,0.002235421856038977,-0.006535947712418166,-0.025511481080736448,-0.0003755811641753537,-0.004152953624725342,1,1
109,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0016339869281045694,0.0,0.0033531327840583547,-0.039215686274509776,0.003547683358192444,0.11127777652985948,0.06114917993545532,0,1
