acc,ece,group,kappa,layer,macro_f1,n_train,nll,seed,target_subject
0.3055555555555556,0.04952283172557751,SASCertTop50,0.07407407407407411,layer3,0.2631283757384659,110,1.3669935464859009,20,6
0.2847222222222222,0.02540011740186148,NoAug,0.04629629629629628,layer3,0.2127304498047532,20,1.385516881942749,21,6
0.2604166666666667,0.02488511081578003,NaiveAug,0.013888888888888914,layer3,0.20147885691099326,200,1.3890405893325806,21,6
0.2326388888888889,0.06410027367787229,Random50,-0.02314814814814814,layer3,0.11326958057277906,110,1.3956236839294434,21,6
0.2604166666666667,0.026920623197737668,SASCertTop50,0.013888888888888914,layer3,0.16287146437522376,110,1.3895477056503296,21,6
0.2986111111111111,0.054026521949304476,NoAug,0.06481481481481481,layer3,0.28035738798258353,20,1.3743042945861816,22,6
0.2986111111111111,0.03777750074449514,NaiveAug,0.06481481481481481,layer3,0.2815568210969256,200,1.3759784698486328,22,6
0.2708333333333333,0.02331659239199426,Random50,0.027777777777777752,layer3,0.22830677777056857,110,1.3790608644485474,22,6
0.2673611111111111,0.02947196674843629,SASCertTop50,0.02314814814814814,layer3,0.22448898961179198,110,1.38137948513031,22,6
0.2847222222222222,0.060916598058409155,NoAug,0.04629629629629628,layer3,0.1624211625758245,20,1.375634789466858,20,7
0.2986111111111111,0.03731728433113959,NaiveAug,0.06481481481481481,layer3,0.24093694800618687,200,1.3699861764907837,20,7
0.2673611111111111,0.11285881501519016,Random50,0.02314814814814814,layer3,0.13352272727272727,110,1.3775794506072998,20,7
0.2638888888888889,0.10137109499838617,SASCertTop50,0.018518518518518528,layer3,0.13183967963544724,110,1.3725935220718384,20,7
0.3125,0.06286630055142774,NoAug,0.08333333333333333,layer3,0.2212293280608308,20,1.372175931930542,21,7
0.3194444444444444,0.05130026541236374,NaiveAug,0.09259259259259256,layer3,0.29010898370929145,200,1.369534969329834,21,7
0.2638888888888889,0.04797719977796078,Random50,0.018518518518518528,layer3,0.14744245524296676,110,1.388887882232666,21,7
0.2604166666666667,0.04750932028724088,SASCertTop50,0.013888888888888914,layer3,0.12728450886345624,110,1.3810625076293945,21,7
0.2951388888888889,0.03778068643684189,NoAug,0.060185185185185196,layer3,0.19006410256410255,20,1.3742095232009888,22,7
0.2708333333333333,0.08140517740199964,NaiveAug,0.027777777777777752,layer3,0.1417334106815375,200,1.37039315700531,22,7
0.2638888888888889,0.091608677059412,Random50,0.018518518518518528,layer3,0.1273824766782513,110,1.3718935251235962,22,7
0.28125,0.01987069182925754,SASCertTop50,0.041666666666666664,layer3,0.17782011571319747,110,1.3757089376449585,22,7
0.3229166666666667,0.05443021789607074,NoAug,0.09722222222222225,layer3,0.21605037513397643,20,1.3610215187072754,20,8
0.3159722222222222,0.022402708211706743,NaiveAug,0.08796296296296295,layer3,0.2379253955985844,200,1.3652430772781372,20,8
0.34375,0.0664598255728682,Random50,0.125,layer3,0.27720296578887726,110,1.3584370613098145,20,8
0.2847222222222222,0.0225189369585779,SASCertTop50,0.04629629629629628,layer3,0.1764960967684497,110,1.3744176626205444,20,8
0.2916666666666667,0.023250704838169947,NoAug,0.05555555555555558,layer3,0.18473835537665326,20,1.366037368774414,21,8
0.3090277777777778,0.03360853499422471,NaiveAug,0.07870370370370372,layer3,0.22978639328569203,200,1.3661978244781494,21,8
