acc,artifact_reject_percentile,ece,group,kappa,layer,macro_f1,n_train,nll,score_variant,seed,target_subject,w_min
0.3576388888888889,10.0,0.10692637988055746,SASCertTop50,0.14351851851851852,layer3_v2,0.28628484919662434,110,1.3603978157043457,artifact_gate_content_rank,20,4,0.2
0.4201388888888889,10.0,0.15629768806199235,ArtifactReject,0.22685185185185186,layer3_v2,0.41556011308861696,182,1.3608514070510864,artifact_gate_content_rank,20,4,0.2
0.375,10.0,0.10863897100918822,SoftWeight,0.16666666666666666,layer3_v2,0.36904352740519714,200,1.358518123626709,artifact_gate_content_rank,20,4,0.2
0.3819444444444444,10.0,0.11334181990888383,SoftWeightArtifactReject,0.1759259259259259,layer3_v2,0.29450830700830705,182,1.3583732843399048,artifact_gate_content_rank,20,4,0.2
0.2951388888888889,10.0,0.02488595526665449,NoAug,0.060185185185185196,layer3_v2,0.2640683740601504,20,1.3580373525619507,artifact_gate_content_rank,21,4,0.2
0.3159722222222222,10.0,0.03839181467062897,NaiveAug,0.08796296296296295,layer3_v2,0.21404853179128724,200,1.3588712215423584,artifact_gate_content_rank,21,4,0.2
0.2743055555555556,10.0,0.03045696641008059,Random50,0.03240740740740744,layer3_v2,0.17532271359769697,110,1.367490291595459,artifact_gate_content_rank,21,4,0.2
0.3854166666666667,10.0,0.11304634561141333,SASCertTop50,0.18055555555555558,layer3_v2,0.2776317120032359,110,1.3597540855407715,artifact_gate_content_rank,21,4,0.2
0.375,10.0,0.10781828386502133,ArtifactReject,0.16666666666666666,layer3_v2,0.3772179008925926,182,1.3564667701721191,artifact_gate_content_rank,21,4,0.2
0.3819444444444444,10.0,0.11526780948042868,SoftWeight,0.1759259259259259,layer3_v2,0.38461727780474453,200,1.3569774627685547,artifact_gate_content_rank,21,4,0.2
0.3819444444444444,10.0,0.11348172794613574,SoftWeightArtifactReject,0.1759259259259259,layer3_v2,0.31791040215132627,182,1.3563867807388306,artifact_gate_content_rank,21,4,0.2
0.34375,10.0,0.07337581304212411,NoAug,0.125,layer3_v2,0.29729651280777947,20,1.3636797666549683,artifact_gate_content_rank,22,4,0.2
0.2986111111111111,10.0,0.03710383192325632,NaiveAug,0.06481481481481481,layer3_v2,0.2592405913978495,200,1.3602275848388672,artifact_gate_content_rank,22,4,0.2
0.3194444444444444,10.0,0.06413815884540479,Random50,0.09259259259259256,layer3_v2,0.23756411819016823,110,1.3663771152496338,artifact_gate_content_rank,22,4,0.2
0.3611111111111111,10.0,0.07332903736581405,SASCertTop50,0.14814814814814814,layer3_v2,0.3057211057211057,110,1.3729771375656128,artifact_gate_content_rank,22,4,0.2
0.4027777777777778,10.0,0.13394892991830906,ArtifactReject,0.20370370370370372,layer3_v2,0.3567391544888105,182,1.360930323600769,artifact_gate_content_rank,22,4,0.2
0.3715277777777778,10.0,0.10247166754884852,SoftWeight,0.16203703703703706,layer3_v2,0.30493931623993525,200,1.3597685098648071,artifact_gate_content_rank,22,4,0.2
0.3923611111111111,10.0,0.11994096046934526,SoftWeightArtifactReject,0.1898148148148148,layer3_v2,0.30160525868305244,182,1.3604347705841064,artifact_gate_content_rank,22,4,0.2
0.2465277777777778,10.0,0.03976740838131971,NoAug,-0.004629629629629613,layer3_v2,0.13614718614718616,20,1.3876557350158691,artifact_gate_content_rank,20,5,0.2
0.23958333333333334,10.0,0.03590859928064876,NaiveAug,-0.013888888888888876,layer3_v2,0.17791762444888268,200,1.3863694667816162,artifact_gate_content_rank,20,5,0.2
0.2465277777777778,10.0,0.05960362580501371,Random50,-0.004629629629629613,layer3_v2,0.10488853075476766,110,1.3952077627182007,artifact_gate_content_rank,20,5,0.2
0.23958333333333334,10.0,0.04794327557707826,SASCertTop50,-0.013888888888888876,layer3_v2,0.15699693564862105,110,1.3898838758468628,artifact_gate_content_rank,20,5,0.2
0.2326388888888889,10.0,0.04140584884832303,ArtifactReject,-0.02314814814814814,layer3_v2,0.14942834168104202,182,1.3852753639221191,artifact_gate_content_rank,20,5,0.2
0.22569444444444445,10.0,0.05286713803393973,SoftWeight,-0.032407407407407406,layer3_v2,0.14798253284040763,200,1.3866912126541138,artifact_gate_content_rank,20,5,0.2
0.25,10.0,0.04616958503093985,SoftWeightArtifactReject,0.0,layer3_v2,0.14184679183116994,182,1.3895877599716187,artifact_gate_content_rank,20,5,0.2
0.2916666666666667,10.0,0.02128694372044669,NoAug,0.05555555555555558,layer3_v2,0.2471191391977724,20,1.3889679908752441,artifact_gate_content_rank,21,5,0.2
0.2847222222222222,10.0,0.00921840738091204,NaiveAug,0.04629629629629628,layer3_v2,0.18384988403963737,200,1.3884283304214478,artifact_gate_content_rank,21,5,0.2
0.2638888888888889,10.0,0.020433927265306313,Random50,0.018518518518518528,layer3_v2,0.15066500575918385,110,1.3909645080566406,artifact_gate_content_rank,21,5,0.2
0.2673611111111111,10.0,0.0119097416754812,SASCertTop50,0.02314814814814814,layer3_v2,0.17839972527472525,110,1.3909543752670288,artifact_gate_content_rank,21,5,0.2
0.2951388888888889,10.0,0.028164485262499914,ArtifactReject,0.060185185185185196,layer3_v2,0.23666962955094162,182,1.3864102363586426,artifact_gate_content_rank,21,5,0.2
