target_subject,seed,comparison,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_kappa,delta_auroc,delta_ece,delta_nll,delta_brier,win_macro_f1
106,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.003289473684210509,-0.002994119269507267,-0.014038703790100526,-0.010164618492126465,0
107,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.03125,0.03399215026633029,0.06254831878634404,0.013157894736841924,-0.01161835704530989,-0.002119601092970491,-0.007945030927658081,1
107,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.009868421052631748,-0.01390158363751004,0.0062142473929751585,0.011021435260772705,0
107,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.026315789473684292,0.025658816932996764,0.054354156151725674,0.019736842105263164,-0.05011327649865838,-0.024465019796717447,-0.01907333731651306,1
107,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.003289473684210509,-0.010415755850928243,0.007893653857280025,-0.0012872815132141113,0
107,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.003289473684210509,0.040938047000340094,-0.01899439990628571,-0.005018830299377441,0
108,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0032679738562091387,-0.0628039811338697,-0.009970223372403497,-0.004596590995788574,0
108,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.02777777777777779,0.02673815531258772,0.05671226046995581,0.019607843137254943,0.04145999891417368,-0.06377969071611578,-0.0361456573009491,1
108,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,0.003400088208062313,0.004282814856833017,0.0032259225845336914,0
108,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.02941176470588236,0.031120760959470584,0.058416515426497284,-0.006535947712418277,-0.035161800895418455,0.006399229761177572,-0.005092442035675049,1
108,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,-0.01476567217281885,-0.014309449609530178,-0.01376199722290039,0
109,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.01105103322437831,0.0052371304641427585,0.004727423191070557,0
109,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.006535947712418277,0.02164549231529239,-0.017849252278214656,-0.010473191738128662,0
109,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.02857142857142858,-0.02614379084967311,-0.03153195488721805,-0.053203321963517736,0.0,0.045959213801792714,0.015866343800835736,0.004957079887390137,0
109,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.009803921568627527,0.010119291714259515,-0.0027491123745374546,-0.0041488707065582275,0
109,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.006535947712418277,-0.002809894936425361,0.006688385973179223,0.0027097463607788086,0
