acc,ece,group,kappa,macro_f1,n_train,nll,seed,shadow_diagnostic,target_subject
0.3576388888888889,0.08139179564184613,SoftWeightArtifactReject,0.14351851851851852,0.27396872314383186,182,1.3689733743667603,20,1,7
0.3125,0.06286630055142774,NoAug,0.08333333333333333,0.2212293280608308,20,1.3721760511398315,21,0,7
0.2777777777777778,0.011574548151757982,NaiveAug,0.037037037037037056,0.18653460173603567,200,1.372559905052185,21,0,7
0.2708333333333333,0.04067974351346493,Random50,0.027777777777777752,0.15114488813181773,110,1.3876979351043701,21,0,7
0.2743055555555556,0.028094676116274468,SASCertTop50,0.03240740740740744,0.15644927536231884,110,1.378975510597229,21,0,7
0.2743055555555556,0.01958818609515826,SASCertSoftWeight,0.03240740740740744,0.16437029651705998,200,1.372692584991455,21,1,7
0.3263888888888889,0.04805472389691406,ArtifactReject,0.10185185185185186,0.25766816831107303,182,1.3702093362808228,21,1,7
0.2673611111111111,0.028262509964406494,SoftWeightArtifactReject,0.02314814814814814,0.14941520467836256,182,1.3754324913024902,21,1,7
0.2951388888888889,0.03778068643684189,NoAug,0.060185185185185196,0.19006410256410255,20,1.3742095232009888,22,0,7
0.3125,0.03684081840846273,NaiveAug,0.08333333333333333,0.21891136442721476,200,1.3723430633544922,22,0,7
0.2604166666666667,0.11032282266144952,Random50,0.013888888888888914,0.12086043761088112,110,1.3724967241287231,22,0,7
0.2986111111111111,0.008082210914128356,SASCertTop50,0.06481481481481481,0.20305305305305305,110,1.3766264915466309,22,0,7
0.2881944444444444,0.04850543290376663,SASCertSoftWeight,0.050925925925925895,0.18963709968914916,200,1.3696727752685547,22,1,7
0.2986111111111111,0.05094722720483939,ArtifactReject,0.06481481481481481,0.1992580630206719,182,1.3701082468032837,22,1,7
0.2986111111111111,0.03236756670392222,SoftWeightArtifactReject,0.06481481481481481,0.21326557163766463,182,1.3700714111328125,22,1,7
0.3229166666666667,0.054430243455701396,NoAug,0.09722222222222225,0.21605037513397643,20,1.3610215187072754,20,0,8
0.3298611111111111,0.02724978110442559,NaiveAug,0.10648148148148147,0.2194997571636717,200,1.3649946451187134,20,0,8
0.34375,0.08018423091723688,Random50,0.125,0.2542945781947067,110,1.358446478843689,20,0,8
0.28125,0.02340284993665086,SASCertTop50,0.041666666666666664,0.16390804838199066,110,1.3723169565200806,20,0,8
0.2881944444444444,0.01825000811368227,SASCertSoftWeight,0.050925925925925895,0.16935704514363886,200,1.3700578212738037,20,1,8
0.3229166666666667,0.03883882906908791,ArtifactReject,0.09722222222222225,0.21503519122289502,182,1.3633980751037598,20,1,8
0.3194444444444444,0.03177977146373855,SoftWeightArtifactReject,0.09259259259259256,0.24531163875277845,182,1.3677239418029785,20,1,8
0.2916666666666667,0.02325070473468966,NoAug,0.05555555555555558,0.18473835537665326,20,1.366037130355835,21,0,8
0.2569444444444444,0.029149533145957522,NaiveAug,0.009259259259259226,0.17067488262910796,200,1.371597170829773,21,0,8
